ITEM_ID,DESCRIPTION,Group Name,Subclass name,UDA,HC Life Style,HC-Price Range,Unit Retail (Vat Incl),Bal WH Quantity,MD,Sale Price,Range Name,Working type,Remarks,WH_BedSet,WH_Bed,WH_N/S,WH_Dres,WH_Wadrb,Min Set,MY REMARKS
164067383,Hannah 200x200 superking Bed - HG White/Silver,Furniture,Super King Bed,D,MODERN LUXE,MID,"3,299",1,80%,659,Hannah,Bedroom,Bed,0,1,1,0,0,0,
168116357,Leopold 200x200 Poster SuperKing Bed with drawer storage - Oak,Furniture,Super King Bed,C,HOMESTEAD,PREMIUM,"4,399",1,,,Leopold,Bedroom,Bed,0,1,0,0,2,0,
168390165,Solena 200x200 Super King Bed - Taupe,Furniture,Super King Bed,D,MODERN LUXE,MID,"2,999",0,,,Solena,Bedroom,Bed,0,0,15,1,3,0,
168541501,Cloud 200x200 Super King Bed with Hydraulic Storage - Beige,Furniture,Super King Bed,E,URBAN LOFT,ENTRY,"2,699",17,,,E-Cloud,Bedroom,Bed,0,61,0,0,0,0,
168541506,Cloud 200x200 Super King Bed - Beige,Furniture,Super King Bed,E,URBAN LOFT,ENTRY,"2,299",8,,,E-Cloud,Bedroom,Bed,0,61,0,0,0,0,
168614303,Todd 200x200 Super King Bed - White,Furniture,Super King Bed,E,URBAN LOFT,ENTRY,"2,999",3,30%,2099,E-Todd,Bedroom,Bed,0,196,0,0,0,0,
168807081,Qubba 200x200 Super King Bed with Hydraulic storage - Taupe/Gold,Furniture,Super King Bed,C,MODERN LUXE,ENTRY,"3,099",7,,,Qubba,Bedroom,Bed,0,130,153,75,13,75,
168899376,Mona 200x200 Super King Bed - Beige,Furniture,Super King Bed,C,URBAN LOFT,ENTRY,"2,699",0,,,Mona,Bedroom,Bed,0,54,135,73,2,54,
168899508,Somerton Low Tufted 200x200 Super King Bed - Beige,Furniture,Super King Bed,C,URBAN LOFT,PREMIUM,"3,799",14,,,Somerton,Bedroom,Bed,0,14,87,17,1,14,
168959456,Zahira 200x200 Superking Bed - Cream/Gold,Furniture,Super King Bed,C,MODERN LUXE,MID,"2,799",1,,,Zahira,Bedroom,Bed,0,1,98,1,2,1,
168984703,Nebulous New 200x200 Super King Bed - Ivory/Oak,Furniture,Super King Bed,N,URBAN LOFT,PREMIUM,"4,199",9,,,Nebulous,Bedroom,Bed,0,85,75,44,-1,44,
143826459,Betrib 180(X)210 Bed - HG White,Furniture,King Bed,D,URBAN LOFT,MID,"3,299",1,,,Betrib,Bedroom,Bed,0,1,0,0,0,0,
152978921,Frost 180x210 Bed-HG White,Furniture,King Bed,D,AIS,MID,"1,799",1,,,Frost,Bedroom,Bed,0,1,1,1,0,1,
155115033,Cora 180x210 Bed - HG Bge,Furniture,King Bed,D,HOMESTEAD,PREMIUM,"1,599",1,,,Cora,Bedroom,Bed,0,1,2,1,0,1,
156115570,Octavio 180x210 Bed - HG White/Walnut,Furniture,King Bed,D,URBAN LOFT,PREMIUM,"1,599",1,,,Octavio,Bedroom,Bed,0,1,0,1,0,0,
156465479,Columbia 180x210 Bed-HG Cream/Grey Oak,Furniture,King Bed,D,URBAN LOFT,ENTRY,999,1,,,Columbia,Bedroom,Bed,0,1,0,1,0,0,
158279197,Giorgia Fabric Cover 180x210-L.Beige,Furniture,King Bed,D,URBAN LOFT,MID,799,0,,,Giorgia,Bedroom,,0,0,0,0,0,0,
158330207,Copenhagen 180X210 Bed-Off White/Wlnt,Furniture,King Bed,D,URBAN LOFT,ENTRY,"1,699",0,,,Copenhagen,Bedroom,Bed,0,0,0,0,0,0,
161879952,Carter 180x210 Bed - HG Cream,Furniture,King Bed,D,URBAN LOFT,MID,"2,599",0,,,Carter,Bedroom,Bed,0,0,0,0,0,0,
162462719,Solace 180x200 Bed - White/Black,Furniture,King Bed,C,URBAN LOFT,MID,"2,999",13,,,Solace,Bedroom,Bed,0,13,52,25,31,13,
